,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Tosin Adarabioyo,8.05,7.51,7.62,,5.55,,,,,
Christopher Nkunku,7.96,6.42,8.22,8.54,6.65,8.03,6.87,8.03,5.44,7.49
Roméo Lavia,5.5,6.3,5.52,,,,,,,
Mykhailo Mudryk,6.3,6.03,6.18,,,,,,,
Renato Veiga,5.78,,7.79,,,,,,,
Kiernan Dewsbury-Hall,5.43,,6.79,6.43,,,,,,
Marc Guiu,5.55,7.64,,,,,,,,
Dwight McNeil,6.86,5.88,6.58,7.54,6.45,7.09,5.89,,,
James Tarkowski,8.52,8.55,6.74,6.72,6.9,6.45,7.26,6.25,6.99,
Jordan Pickford,6.05,5.8,7.99,7.74,6.2,6.58,6.13,6.44,5.98,5.56
Ashley Young,6.99,6.04,7.54,6.16,7.47,6.17,0.0,6.94,7.94,6.09
Iliman Ndiaye,7.97,7.86,,,7.72,,,,,
Nathan Patterson,0.0,7.44,6.84,,,,,,,
Michael Keane,5.61,6.51,8.08,8.13,7.6,7.54,7.69,7.57,6.95,
Idrissa Gana Gueye,5.59,6.85,6.45,8.38,7.4,6.8,8.25,8.03,6.34,6.66
Jarrad Branthwaite,5.94,6.92,,6.14,,7.18,,,,
Orel Mangala,7.1,6.12,6.19,5.77,8.07,,,5.71,,
Abdoulaye Doucouré,6.27,7.99,7.63,6.05,7.29,7.45,6.68,7.0,6.25,7.11
Vitaliy Mykolenko,8.02,6.21,7.99,7.67,,,,,,
Dominic Calvert-Lewin,7.35,6.64,7.53,7.73,8.34,7.67,5.44,5.63,7.26,
James Garner,7.82,5.93,7.31,,,6.84,,,,
Jesper Lindstrøm,7.15,6.69,7.18,7.9,,,,,,
Beto,6.31,6.2,6.69,6.73,6.88,6.36,5.59,8.14,,7.17
Jack Harrison,7.02,6.6,6.76,7.87,6.21,,,,,
Tim Iroegbunam,5.64,6.95,,6.44,,,,,,
Séamus Coleman,6.91,5.64,7.13,7.39,5.69,6.37,6.68,7.97,7.65,7.21
Armando Broja,7.38,5.56,6.68,7.59,,5.41,,,,
Jake O'Brien,5.44,6.93,,,,,,,,
Mason Holgate,6.83,6.14,6.22,6.12,7.22,6.9,5.56,6.99,5.48,
Roman Dixon,5.48,,,,,,,,,
Alexander Isak,6.05,8.29,6.7,8.01,8.36,6.5,,5.95,,
Lewis Hall,8.26,6.44,5.78,,,,,,,
Anthony Gordon,7.76,6.76,5.92,6.93,5.34,5.76,,,,
Bruno Guimarães,5.94,6.9,7.79,6.97,7.44,6.51,,,,
Nick Pope,7.19,8.25,6.11,6.74,7.46,5.85,,7.36,,
Martin Dúbravka,6.63,6.63,8.85,7.44,6.84,6.44,7.53,6.89,,
Jacob Murphy,7.3,8.2,6.71,6.17,6.19,,6.18,7.69,,
Harvey Barnes,10.0,6.15,7.5,6.65,6.15,6.32,6.14,6.34,,
Sandro Tonali,8.27,7.4,5.92,6.46,6.11,7.67,,,,
Dan Burn,7.89,7.06,7.51,7.27,8.17,5.79,,,,
Joelinton,6.78,6.84,7.07,6.57,7.33,5.47,5.93,,7.23,7.32
Fabian Schär,6.37,8.12,6.06,7.75,6.47,6.9,7.83,7.58,5.63,7.13
Emil Krafth,6.44,7.89,,6.21,6.89,6.97,6.86,6.77,7.0,6.2
Valentino Livramento,5.6,7.1,5.71,7.57,,,,,,
Sean Longstaff,7.65,7.58,6.18,6.17,6.3,6.27,5.54,,,
Joe Willock,7.05,7.07,6.96,7.83,5.87,7.72,5.55,6.65,,
Lloyd Kelly,6.94,6.9,8.07,,,5.63,,,,
Kieran Trippier,6.66,7.1,7.19,7.91,8.46,6.22,6.32,5.89,8.5,8.22
Miguel Almirón,6.46,6.68,0.0,6.08,7.0,7.06,7.66,,,
Lewis Miley,7.6,6.08,5.97,,,,,,,
William Osula,5.72,6.93,,,,,,,,
Callum Wilson,7.6,7.12,7.78,5.66,6.09,6.57,7.89,7.21,7.97,6.65
Mohamed Salah,7.84,6.88,6.22,8.77,7.77,8.52,8.84,8.28,7.26,8.18
Virgil van Dijk,6.5,7.75,8.24,8.56,6.67,6.41,6.57,7.43,8.65,6.64
Ryan Gravenberch,6.09,7.61,7.16,,,,,,,
Trent Alexander-Arnold,8.47,8.06,7.95,7.86,7.19,8.33,7.18,6.11,5.98,
Dominik Szoboszlai,7.26,8.3,7.28,5.91,,,,,,
Luis Díaz,6.37,6.01,8.02,6.78,,,,,,
Kostas Tsimikas,6.75,12.0,7.25,7.27,7.22,,,,,
Vitezslav Jaros,7.28,,,,,,,,,
Alisson,7.07,6.78,7.44,6.4,7.93,6.87,6.14,7.73,,
Cody Gakpo,6.32,8.0,7.73,,,,,,,
Ibrahima Konaté,6.51,5.77,7.75,7.41,7.41,8.19,7.02,7.18,,
Alexis Mac Allister,7.61,8.23,7.66,5.84,6.15,5.59,,,,
Curtis Jones,6.55,7.11,7.72,6.11,6.85,7.12,,,,
Harvey Elliott,8.15,7.72,7.9,7.42,,6.47,7.57,,,
Caoimhín Kelleher,7.05,7.35,7.85,6.66,6.55,,,,,
Diogo Jota,5.76,8.3,7.09,7.06,6.32,8.04,6.27,,,
Darwin Núñez,6.04,5.7,7.18,,,,,,,
Joe Gomez,7.89,6.27,6.89,7.7,6.84,8.13,7.49,5.66,,6.27
Conor Bradley,5.47,6.56,,,,,,,,
Wataru Endo,6.3,6.95,6.81,5.88,2.0,,,,,
Andrew Robertson,5.88,6.23,7.68,7.81,6.04,8.13,7.89,7.87,5.69,
Jarell Quansah,6.73,6.06,,,,,,,,
Federico Chiesa,7.5,7.83,6.64,7.33,7.25,8.09,7.94,6.8,7.03,
Fabio Vieira,,6.62,6.57,,,,,,,
Mohamed Elneny,,7.75,7.72,5.49,6.15,,6.19,7.07,7.65,5.89
Cédric Soares,,6.22,6.54,7.98,7.4,7.05,6.06,6.05,7.86,6.5
Pascal Groß,6.97,7.3,6.91,7.76,5.94,7.62,7.72,8.21,6.2,6.67
Solly March,,7.53,6.08,7.03,5.88,7.4,5.79,5.86,,
Ansu Fati,6.5,5.62,6.54,4.0,7.51,7.55,,,,
Mahmoud Dahoud,7.62,6.18,6.8,7.97,8.2,6.44,7.74,8.07,7.69,6.58
Valentín Barco,5.61,6.65,,,,,,,,
Odeluga Offiah,,6.68,5.01,,,,,,,
Benicio Boaitey,,5.79,,,,,,,,
Mark O'Mahony,,7.0,,,,,,,,
Thomas Strakosha,,6.97,,6.2,7.44,7.61,7.88,7.23,7.85,
Rico Henry,,6.0,6.99,7.84,,,,,,
Ivan Toney,,5.71,6.59,8.04,,,,,,6.07
Sergio Reguilón,,7.84,6.56,6.38,6.0,7.46,7.5,,,
Tana,,7.59,7.46,6.95,,5.71,5.96,5.78,7.14,6.36
Neal Maupay,7.72,6.88,7.18,6.76,7.13,7.52,,,,6.36
Shandon Baptiste,,7.34,5.94,6.37,,,,,,
Saman Ghoddos,,7.5,6.4,7.24,,8.23,7.84,,,
Aaron Hickey,,6.91,6.27,5.82,5.72,,,,,
Michael Olakigbe,,7.76,,,,,,,,
Josh Dasilva,,5.66,7.84,6.84,,,,,,
Myles Peart-Harris,,5.79,,,,,,,,
Douglas Luiz,6.41,8.34,8.1,7.83,6.5,5.81,6.44,6.26,,
Moussa Diaby,,7.18,6.32,5.81,6.07,7.43,6.97,7.58,,
Philippe Coutinho,,7.34,5.56,7.38,6.41,7.48,2.0,8.03,6.23,8.63
Clément Lenglet,8.39,7.74,6.88,5.85,8.22,6.55,6.68,6.92,6.81,
Leander Dendoncker,,6.52,6.84,6.39,5.68,7.19,5.69,,,
Calum Chambers,,6.3,7.21,5.77,7.38,7.75,5.94,8.18,6.07,7.17
Nicolò Zaniolo,5.67,7.35,6.58,5.77,,5.97,5.59,,,
Finley Munroe,,7.68,,,,,,,,
Omari Kellyman,,6.18,,,,,,,,
Bertrand Traoré,,6.38,7.54,5.39,7.47,7.25,6.95,6.45,,6.11
Kaine Kesler-Hayden,,6.04,,,,,,,,
Chris Mepham,,7.96,7.76,,,6.05,7.9,,,
Kieffer Moore,,6.62,6.98,,,,,,,
Hamed Junior Traorè,7.38,6.12,7.48,6.8,6.95,7.04,5.5,,,
Joe Rothwell,,6.45,5.79,,,,,,,
Romain Faivre,6.64,5.89,6.06,7.48,8.62,,6.11,,,
Jaidon Anthony,,7.45,7.69,,,,,,,
Ionuț Radu,,5.61,6.51,5.62,5.8,7.72,5.99,,,6.75
Matt Turner,,5.63,,,,,,,,
Scott McKenna,7.18,6.71,7.31,,,,,,,
Serge Aurier,,7.53,6.86,7.22,8.18,7.52,5.58,6.85,6.99,8.27
Gonzalo Montiel,5.51,6.3,5.93,7.47,,,,,,
Giovanni Leoni,6.3,8.2,6.63,6.17,7.72,6.81,,,,
Nuno Tavares,5.74,5.6,7.97,5.97,,,,,,
Moussa Niakhate,7.5,5.84,7.08,7.14,8.01,6.07,7.58,6.13,,
Odisseas Vlachodimos,,7.89,,,,,,,,6.89
Andrew Omobamidele,,6.13,,7.53,,,,,,
Joe Worrall,,5.92,8.17,,,,,,,
Divock Origi,,6.61,7.46,5.92,7.5,7.38,6.85,5.75,6.29,6.31
Cheikhou Kouyaté,,7.38,6.98,7.83,8.07,5.54,6.63,6.31,7.44,8.09
Felipe,,7.68,5.72,5.72,6.51,6.6,6.54,5.81,7.49,6.09
Andrey Santos,6.97,7.41,,,,,,,,
Rodrigo Ribeiro,,7.29,,,,,,,,
Brandon Aguilera,,7.22,,,,,,,,
Sasa Kalajdzic,,7.33,7.97,5.8,6.56,,,,,
Nathan Fraser,,7.44,,,,,,,,
Enso Gonzalez,,5.77,,,,,,,,
Jonny Castro,,6.85,7.88,8.11,7.53,6.27,6.4,7.35,5.94,6.75
Hugo Bueno,,7.48,7.9,,,,,,,
Boubacar Traoré,,6.15,7.78,6.22,6.46,,,,,
Leon Chiwome,,6.82,,,,,,,,
Tawanda Chirewa,,6.31,,,,,,,,
Daniel Bentley,,5.43,8.19,,,,,,,
Fábio Silva,8.24,6.15,,6.89,6.01,,,,,
Julián Álvarez,6.71,6.39,6.71,,,,,,,
Oscar Bobb,,5.79,,,,,,,,
Aymeric Laporte,,2.0,8.24,8.29,7.64,8.25,7.67,7.48,8.36,5.81
Sergio Gómez,7.17,7.84,7.32,,7.28,,,,,
João Palhinha,5.71,5.94,4.0,,,,,,,
Willian,,7.78,5.87,,8.1,6.9,7.71,7.69,7.68,7.43
Aleksandar Mitrović,,6.84,7.49,,8.14,,5.89,7.87,,7.51
Tim Ream,,5.95,8.13,,7.4,,6.38,,,
Carlos Vinícius,8.24,6.92,5.53,,7.51,,6.52,,,
Fodé Ballo-Touré,,6.55,7.84,5.93,5.47,7.44,7.41,6.05,,
Luke Harris,,4.97,7.08,,,,,,,
Nayef Aguerd,7.05,7.12,7.5,6.5,6.16,7.27,7.02,,,
George Earthy,,5.57,,,,,,,,
Kurt Zouma,,5.76,8.15,6.44,6.49,5.82,5.98,6.57,6.94,7.86
Saïd Benrahma,7.38,6.42,7.47,6.56,6.69,,,,,7.05
Pablo Fornals,7.6,7.25,5.91,8.23,6.62,7.75,6.21,8.04,5.51,7.6
Angelo Ogbonna,,5.69,7.9,6.83,7.51,6.54,5.59,6.36,6.1,7.38
Thilo Kehrer,5.93,6.37,6.83,6.62,6.98,6.61,7.02,7.39,6.37,
Divin Mubama,,6.27,5.92,,,,,,,
Manor Solomon,,8.67,6.34,,,,,,,
Giovani Lo Celso,8.74,6.67,7.47,6.06,7.86,6.2,6.94,8.1,8.61,
Ivan Perišić,,6.3,7.43,7.61,6.98,6.87,8.44,7.74,6.34,8.11
Davinson Sánchez,,10.0,6.65,8.38,7.91,6.36,6.42,6.61,,
Emerson,6.43,7.62,6.72,6.02,7.79,7.86,7.74,,,
Pierre Højbjerg,6.26,7.88,6.69,7.42,6.22,5.5,7.37,7.52,6.38,7.05
Bryan Gil,6.51,7.86,7.48,6.52,7.99,6.36,6.11,,,
Alejo Véliz,6.16,7.51,,,,,,,,
Eric Dier,7.05,7.74,7.71,7.71,5.8,7.31,7.3,6.58,6.73,8.42
Dane Scarlett,,5.59,,,,,,,,
Michael Olise,8.15,7.52,6.14,7.26,,,,,,
Jesurun Rak Sakyi,,5.54,,6.82,,,,,,
Joel Ward,,7.0,5.6,6.75,7.12,7.24,6.45,6.66,6.12,7.58
Jaïro Riedewald,,7.25,5.96,5.66,7.7,6.36,,6.78,,
Matheus França,,7.77,,,,,,,,
David Ozoh,,7.28,,,,,,,,
Naouirou Ahamada,,6.69,5.66,5.42,6.9,,,,,
James Tomkins,,6.53,6.91,5.51,7.17,7.8,6.7,7.85,8.2,7.38
Remi Matthews,,5.11,,,,,,,,
Raphaël Varane,,6.42,5.83,7.51,7.9,6.57,6.8,6.64,7.85,6.37
Hannibal Mejbri,,6.03,,5.28,6.62,,,,,
Facundo Pellistri,,7.89,5.61,6.76,7.08,,,,,
Anthony Martial,,7.71,5.87,5.59,7.54,6.03,10.0,8.29,7.94,5.52
Sofyan Amrabat,5.65,6.97,7.04,7.48,6.81,5.68,,,,
Omari Forson,6.98,5.56,,,,,,,,
Ethan Wheatley,,5.78,,,,,,,,
Willy Kambwala,7.4,7.1,,,,,,,,
Conor Gallagher,8.1,7.24,7.0,6.79,5.82,,,,,
Thiago Silva,,7.18,7.06,5.91,7.59,8.13,8.34,8.18,6.98,7.06
Joshua Acheampong,,6.0,,,,,,,,
Đorđe Petrović,6.01,5.71,,,,,,,,
Ben Chilwell,,6.62,8.12,7.02,6.28,6.06,7.25,7.31,5.68,
Carney Chukwuemeka,,7.13,5.38,7.65,5.47,,,,,
Alfie Gilchrist,,5.74,,,,,,,,
Cesare Casadei,,5.4,,,,,,,,
Mason Burstow,,6.59,,,,,,,,
Deivid Washington,,6.38,,,,,,,,
Wes Foderingham,,6.62,,,,,,,,
Oliver McBurnie,7.51,5.94,,,6.56,5.67,,7.81,5.43,
Gustavo Hamer,,7.69,,,,,,,,
Oliver Arblaster,,6.16,,,,,,,,
Vinicius Souza,,8.11,8.08,,,,,,,
Ivo Grbić,,5.6,7.18,8.03,,,,,,
Oliver Norwood,,7.1,,,5.72,6.23,,,,
Jack Robinson,,6.34,,,8.1,6.0,,,,
George Baldock,,7.62,,,7.3,7.77,,,,
Jayden Bogle,,7.69,,,6.61,,,,,
James Mcatee,,6.79,,6.55,,,,,,
Yasser Larouci,,6.98,6.1,5.48,,,,,,
Chris Basham,,7.07,,,7.51,7.62,,,,
Auston Trusty,,6.93,,,,,,,,
Ben Osborn,,7.43,,,6.27,5.95,,,,
Anel Ahmedhodžić,,5.88,,6.51,,,,,,
Max Lowe,,5.54,,,6.15,,,,,
Andre Brooks,,6.27,,,,,,,,
John Fleck,,6.51,,,5.83,6.2,,,,
Sydie Peck,,5.94,,,,,,,,
Rhian Brewster,,5.37,,,7.4,,,,,
Anis Ben Slimane,,6.32,,,,,,,,
Sam Curtis,,6.74,,,,,,,,
Antwoine Hackford,,7.29,,,5.86,,,,,
John Egan,,5.64,6.56,6.65,6.08,6.29,,,,
Bénie Traoré,,6.15,,,,,,,,
Tom Davies,,5.79,6.43,7.67,6.74,5.57,7.33,7.13,7.74,7.67
Ryan One,,5.51,,,,,,,,
Rhys Norrington-Davies,,6.03,,,,,,,,
Josh Cullen,,6.97,,,,,,5.62,,
James Trafford,,5.87,,,,,,,,
Josh Brownhill,,8.14,,6.68,6.27,6.95,,,,
Jordan Beyer,,5.6,,7.71,7.16,6.65,7.17,,,
Jóhann Berg Guðmundsson,,6.67,,7.33,5.35,6.98,5.76,7.96,6.45,
Zeki Amdouni,,5.56,,,,,,,,
Jacob Bruun Larsen,6.99,6.05,6.24,5.39,5.92,5.88,5.91,5.92,,
Lyle Foster,,5.58,,,,6.73,,,,
David Datro Fofana,,7.15,7.95,,,,,,,
Michael Obafemi,,5.91,,,6.01,5.42,7.08,6.18,,
Maxime Estève,,6.03,5.78,6.04,,,,6.01,,
Lorenz Assignon,7.72,8.29,7.55,5.99,,,,,,
Hjalmar Ekdal,,6.93,,,,,,,,
Jay Rodriguez,,7.68,,6.15,6.78,7.33,,6.29,7.63,7.15
Daniel Bessa,,5.39,,7.77,5.96,,7.07,6.72,,
Han-Noah Massengo,,7.27,7.01,,,,6.73,,,
Luca Koleosho,,5.92,7.06,,,,,,,
Vitinho,,5.52,,,,,,,,
Mike Trésor,,7.65,,,,,,,,
Nathan Redmond,,6.1,,6.22,6.68,7.67,7.19,6.21,8.49,6.72
Ameen Al-Dakhil,6.11,5.9,,,,,,,,
Hannes Delcroix,,6.03,,,,,,,,
Aaron Ramsey,,5.55,8.29,7.35,5.84,5.58,7.39,8.19,7.67,6.21
Jack Cork,,7.75,,5.84,6.78,7.2,6.07,7.98,5.59,7.62
Connor Roberts,,6.19,,7.06,,,,6.39,,
Anass Zaroury,7.95,5.52,,,,,,,,
Ben Godfrey,7.17,7.95,6.97,7.14,7.58,6.84,,,,
André Gomes,6.76,7.55,5.61,5.51,5.6,7.72,5.73,6.88,6.68,6.4
Arnaut Danjuma,5.55,6.42,5.81,6.63,,5.65,,,,
Lewis Dobbin,,7.63,,5.23,,,,,,
Youssef Chermiti,,7.75,,,,,,,,
Albert Sambi Lokonga,6.16,8.41,6.27,6.28,,,,,,
Carlton Morris,,6.21,,,,,,,,
Alfie Doughty,,7.29,,,,,,,,
James Shea,,8.0,,,,,,,,
Tom Lockyer,,6.63,,,,,,,,
Thomas Kaminski,,7.7,,,,,,,,
Mads Juel Andersen,,7.92,,,,,,,,
Reece Burke,,6.12,,,,,,,,
Gabriel Osho,7.13,6.43,,,,,,,,
Teden Mengi,,6.92,,,,,,,,
Issa Kaboré,,6.25,6.16,6.06,,,,,,
Tahith Chong,,6.21,,,7.84,7.7,7.61,,,
Marvelous Nakamba,,6.26,,7.52,7.17,5.74,,,,
Cauley Woodrow,,7.21,,,,,,,,
Jacob Brown,,7.3,,,,,,,,
Andros Townsend,,5.67,,7.84,7.56,7.87,7.82,7.41,6.43,5.53
Elijah Adebayo,,6.28,,,,,,,,
Amari'i Bell,,6.08,,,,,,,,
Luke Berry,,7.7,,,,,,,,
Jordan Clark,,5.84,,,,,,,,
Pelly Ruddock Mpanzu,,5.7,,,,,,,,
Zack Nelson,,6.03,,,,,,,,
Daiki Hashioka,,7.69,,,,,,,,
Fred Onyedinma,,6.06,,,,,,,,
Joseph Johnson,,4.83,,,,,,,,
Sven Botman,,6.97,5.88,8.13,7.33,,,,,
Jamaal Lascelles,,5.51,6.59,6.17,5.89,6.0,6.33,6.74,,6.58
Matt Ritchie,,6.58,6.04,7.42,6.19,6.28,6.52,6.8,,7.95
Alex Murphy,,7.69,,,,,,,,
Joe White,,7.74,,,,,,,,
Ben Parkinson,,6.48,,,,,,,,
Loris Karius,,5.56,,,6.79,,,7.19,5.56,7.83
Matt Targett,,5.11,7.75,7.54,7.15,7.93,6.97,6.67,7.55,8.19
Paul Dummett,,4.74,,7.25,8.11,6.43,5.83,6.84,,6.97
Joël Matip,,8.0,7.23,6.99,6.28,6.7,7.42,6.75,8.08,8.37
Owen Beck,,6.09,,,,,,,,
Jayden Danns,,7.63,,,,,,,,
Stefan Bajcetic,,5.44,6.25,,,,,,,
Ben Doak,,5.94,7.58,,,,,,,
James McConnell,,5.89,,,,,,,,
Bobby Clark,,5.78,7.17,,,,,,,
Thiago Alcántara,,5.33,6.97,5.98,7.77,6.71,6.73,8.07,8.98,6.13
Granit Xhaka,6.51,6.07,6.58,7.3,6.75,7.57,7.34,6.85,6.5,7.97
Rob Holding,,,7.54,7.13,6.71,5.83,7.63,8.1,7.93,
Kieran Tierney,,7.72,6.98,6.45,5.52,6.21,,,,
Çağlar Söyüncü,,6.25,6.64,7.19,6.16,8.3,7.2,7.29,7.67,
Marc Albrighton,,,7.93,6.07,7.74,6.85,5.67,7.87,6.98,8.14
Harry Souttar,,,5.86,,,,,,,
Kelechi Iheanacho,6.34,,5.78,6.98,7.29,7.66,5.86,6.33,6.19,5.75
Nampalys Mendy,5.51,6.31,7.96,5.7,6.57,7.83,6.3,6.6,7.39,7.91
Ayoze Pérez,7.8,6.41,6.12,5.99,6.39,6.64,6.79,6.67,,6.21
Tetê,,,8.16,7.45,,,,,,
Daniel Iversen,,,6.58,,,,,,,
Dennis Praet,,,6.56,6.47,6.77,6.24,7.74,6.82,7.46,
Lewis Brunt,,,5.43,7.38,,,,,,
Deniz Undav,6.89,9.01,6.91,,,,,,,
Enock Mwepu,,,6.93,5.52,,,,,,
Andrew Moran,,,5.23,,,,,,,
Cameron Peupion,,,5.1,,,,,,,
Darko Gyabi,,,10.0,,,,,,,
Rodrigo,,,5.66,7.36,6.88,6.14,6.95,7.17,8.29,7.24
Maximilian Wöber,,6.95,6.54,,,,7.58,,,
Marc Roca,7.16,5.74,8.16,6.47,6.52,7.65,7.84,5.64,7.05,
Pascal Struijk,,,5.94,6.11,8.05,,,,,
Liam Cooper,,,7.74,6.65,7.6,,,,,
Sam Greenwood,,,5.52,5.55,,,,,,
Rasmus Kristensen,6.02,7.43,6.1,,,,,,,
Diego Llorente,7.31,6.35,6.34,7.79,7.27,7.47,5.54,6.1,5.53,5.74
Weston McKennie,7.52,0.0,5.67,6.25,6.38,7.32,5.75,7.42,6.35,
Illan Meslier,,,5.46,7.91,7.21,,,,,
Wilfried Gnonto,,,7.27,,,,,,,
Robin Koch,6.83,5.74,6.5,5.95,6.36,6.18,7.45,6.09,,
Joe Gelhardt,,,5.87,7.0,,,,,,
Adam Forshaw,,,5.34,7.77,,,,,7.56,
Luke Ayling,,,7.24,6.16,5.94,,,,,
Patrick Bamford,,,6.71,6.19,6.28,,,,7.72,6.98
Junior Firpo,,,6.7,6.8,7.34,5.98,7.37,7.44,,
Mateusz Klich,,,5.86,6.98,8.01,,,,,
Joel Robles,,,7.08,,7.44,7.61,7.05,,7.03,6.08
Brenden Aaronson,,6.7,6.59,,,,,,,
Mateo Joseph,,,7.46,,,,,,,
Cody Drameh,,,6.66,5.36,,,,,,
Pontus Jansson,,,5.79,7.57,,,,,,5.66
Mads Bech Sørensen,,,7.2,6.99,,,,,,
Sergi Canós,7.05,7.74,6.8,8.01,,,,,,6.15
Halil Dervişoğlu,,,6.73,,,,,,,
Morgan Sanson,,7.71,5.58,5.87,6.34,6.73,6.4,6.98,6.29,5.45
Ludwig Augustinsson,,,6.02,6.86,6.38,6.99,6.29,6.26,,
Siriki Dembélé,,,6.14,,,,,,,
Jordan Zemura,6.83,6.36,5.45,,,,,,,
Matías Viña,,6.02,7.24,6.8,,,,,,
Ben Pearson,,,5.33,,,,,,,
Junior Stanislas,,,6.29,,,6.36,6.17,6.34,7.37,6.63
Emiliano Marcondes,,,6.89,,,,,,,
Jamal Lowe,,,7.78,,,,,,,
Ryan Fredericks,,,5.45,6.59,7.46,8.06,6.59,,,
Jack Stacey,,,5.29,,,5.51,,,,
Owen Bevan,,,5.37,,,,,,,
Wayne Hennessey,,,6.46,5.38,,6.03,6.11,7.88,7.01,6.77
Steve Cook,,,7.6,,,7.86,5.87,6.19,6.57,6.31
Lewis O'Brien,,,7.25,,,,,,,
Giulian Biancone,,,7.8,7.4,7.54,,5.9,,,
Jack Colback,,,6.17,,,,,,,5.76
Keylor Navas,,6.02,7.09,7.38,6.56,5.91,8.19,6.99,7.64,6.48
Remo Freuler,7.06,5.77,7.2,6.55,7.92,7.64,8.1,7.94,6.35,7.69
Emmanuel Dennis,,,6.17,8.08,7.64,,,,,
Gustavo Scarpa,,,5.34,,,,,,,
Renan Lodi,,6.03,5.66,7.71,7.07,5.9,,,,
Jesse Lingard,,,7.44,6.26,8.53,6.5,5.65,7.75,6.65,6.6
Jonjo Shelvey,,,5.78,6.64,7.8,7.63,7.56,6.31,,7.19
Sam Surridge,,,6.93,,,5.35,5.35,,,
André Ayew,6.69,7.77,6.07,,,,,6.04,5.78,6.29
Cafú,,,6.82,,,,,6.53,6.41,
Alex Mighten,,,6.32,,,,,,,
Rúben Neves,,,7.06,7.59,6.01,6.66,7.05,,,
João Moutinho,,,7.92,6.01,6.33,8.38,7.39,7.08,7.12,5.74
Diego Costa,,,5.63,,6.86,6.16,7.52,5.86,7.23,7.77
Joe Cole,,,5.74,,,,,,,
Chem Campbell,,,5.48,5.31,,,,,,
Dexter Lembikisa,,,6.72,,,,,,,
Riyad Mahrez,,,7.97,6.22,6.41,8.26,6.5,5.93,6.37,8.81
Shea Charles,,,6.0,,,,,,,
João Cancelo,,6.5,7.36,7.99,7.64,5.84,5.95,6.7,6.96,5.48
Máximo Perrone,7.2,6.36,5.68,,,,,,,
Daniel James,,,7.66,6.46,7.07,6.06,,,,
Neeskens Kebano,,,7.91,,6.21,,6.77,,,
Marek Rodák,,,7.18,,7.19,,,,,
Tyrese Francois,,,6.66,,5.63,,,,,
Kevin Mbabu,,7.87,7.5,6.69,5.87,8.38,,,,5.3
Jay Stansfield,,,7.0,,,,,,,
Layvin Kurzawa,,6.08,5.13,,7.42,7.23,5.36,8.02,7.77,6.03
Josh Onomah,,,7.23,,5.38,,,,6.94,5.21
Nathaniel Chalobah,,,4.95,,,6.97,7.66,6.12,7.8,7.7
Shane Duffy,,,3.57,5.76,,7.21,7.14,8.5,,
Gianluca Scamacca,,7.4,7.22,8.19,6.59,,,7.29,,
Manuel Lanzini,,,7.69,5.7,7.65,7.41,6.96,7.99,6.14,7.68
Vicente Guaita,6.97,6.19,6.79,5.72,6.25,6.63,7.77,5.76,,6.64
Wilfried Zaha,7.08,,7.51,7.86,6.84,6.66,7.87,7.26,7.0,5.62
Luka Milivojević,,,6.78,6.98,7.69,7.94,7.04,7.28,6.2,
James McArthur,,,6.4,7.4,7.01,7.23,7.72,6.05,7.35,5.64
Malcolm Ebiowei,,,7.33,,,,,,,
Joseph Whitworth,,,5.31,,,,,,,
Harry Kane,7.48,9.2,7.16,6.01,6.47,5.96,6.86,8.82,6.12,6.26
Matthew Craig,,,5.61,,,,,,,
Hugo Lloris,,,6.43,6.53,7.21,6.72,6.2,6.42,6.33,7.88
Lucas Moura,,,6.53,7.85,6.19,5.8,8.17,6.4,8.2,6.52
Japhet Tanganga,,,7.23,7.8,5.56,5.81,,,,
David de Gea,8.49,,6.71,6.61,7.75,6.79,7.61,7.11,5.64,7.82
Marcel Sabitzer,7.29,6.33,5.65,6.66,7.19,8.23,7.94,8.09,10.0,
Fred,,,5.96,5.91,7.72,6.21,5.95,,,
Cristiano Ronaldo,,,6.2,7.25,7.19,7.77,6.57,8.05,8.15,9.22
Wout Weghorst,,5.84,6.1,7.57,7.2,7.0,8.64,,,
Donny van de Beek,7.11,7.76,7.57,7.67,5.79,,,,,
Mohammed Salisu,8.21,7.04,7.53,7.11,5.83,7.0,,,,
Armel Bella Kotchap,,,6.01,7.66,,,,,,
Duje Ćaleta-Car,7.56,7.39,6.56,6.55,7.63,8.01,5.85,,,
Lyanco,,,7.52,6.03,5.88,7.85,6.18,8.02,,
Oriol Romeu,7.45,5.98,6.09,6.63,0.0,7.71,5.92,7.98,6.73,6.49
Che Adams,7.29,,7.37,6.55,7.32,6.81,,,,
Ainsley Maitland-Niles,7.49,5.72,7.63,7.66,6.41,6.11,6.2,7.88,,
Juan Larios,,,5.63,,,,,,,
Sekou Mara,7.39,,6.31,7.1,7.22,,,,,
Mohamed Elyounoussi,,,7.47,5.68,,,6.58,,,
Theo Walcott,,,7.58,6.34,7.63,6.57,6.27,8.05,5.84,6.39
Stuart Armstrong,,,7.58,7.64,7.03,6.23,7.33,,,
Moussa Djenepo,,,6.48,7.36,7.69,7.76,,,,
Gavin Bazunu,,,7.69,,,,,,,
Ibrahima Diallo,,,7.37,5.72,6.88,6.94,,,,
Romain Perraud,7.06,6.21,6.72,5.46,7.95,7.32,,,,
Mislav Oršić,,,7.69,,,,,,,
